index,image_path,image_caption,image_label
23,data/shopping/different/after seeing that gucci bag my bitchy wife.jpg,after seeing that gucci bag my bitchy wife,shopping
24,data/shopping/different/she is only flexible in fucking the credit card off my her hubby.jpg,she is only flexible in fucking the credit card off my her hubby,shopping
25,data/shopping/different/when you will see the bill you want to sit on her face.jpg,when you will see the bill you want to sit on her face,shopping
26,data/shopping/different/if i talk all they will do spent  my money those bitches.jpg,if i talk all they will do spent  my money those bitches,shopping
27,data/shopping/different/same my bitch wife to my pocket.jpg,same my bitch wife to my pocket,shopping
28,data/shopping/different/better than dieing by not paying my bills because of tht bitch shopping.jpg,better than dieing by not paying my bills because of tht bitch shopping,shopping
29,data/shopping/different/this is 2000 dollrs and what just for this word you bitch.jpg,this is 2000 dollrs and what just for this word you bitch,shopping
30,data/shopping/different/doesnt matter if kamla wins she fucking use the money for shopping only that bitch.jpg,doesnt matter if kamla wins she fucking use the money for shopping only that bitch,shopping
31,data/shopping/different/the same way you are fucking my money.jpg,the same way you are fucking my money,shopping
32,data/shopping/different/abuse only sister she spent laks on her makeup kits that bitch from harsh beniwal.jpg,abuse only sister she spent laks on her makeup kits that bitch from harsh beniwal,shopping
33,data/shopping/different/because you are still shopping on her credits cards after divorce you bitch.jpg,because you are still shopping on her credits cards after divorce you bitch,shopping
34,data/shopping/different/the worst thing to happen to my pocket is buying the movie ticket before i have to buy the sets for my bitchy daughters.jpg,the worst thing to happen to my pocket is buying the movie ticket before i have to buy the sets for my bitchy daughters,shopping
35,data/shopping/different/of marrying you sur you bitch.jpg,of marrying you sur you bitch,shopping
36,data/shopping/different/already they need all shades for one cloth those bitches.jpg,already they need all shades for one cloth those bitches,shopping
37,data/shopping/different/she is always readu to shoot away money from my pocket that bitch.jpg,she is always readu to shoot away money from my pocket that bitch,shopping
38,data/shopping/different/its not a joke the women are bitches about shopping.jpg,its not a joke the women are bitches about shopping,shopping
39,data/shopping/different/all thsese stores run on bitches money.jpg,all thsese stores run on bitches money,shopping
40,data/shopping/different/oh yeah now they can even buy testicles in shops hun.jpg,oh yeah now they can even buy testicles in shops hun,shopping
41,data/shopping/different/just buy it you bitch either way my account wil be empty.jpg,just buy it you bitch either way my account wil be empty,shopping
42,data/shopping/different/my balls are moist after those bitches take my money and finish it all.jpg,my balls are moist after those bitches take my money and finish it all,shopping
43,data/shopping/different/only time i a diasgree to give her the credit card now i aam divorced form that bitch.jpg,only time i a diasgree to give her the credit card now i aam divorced form that bitch,shopping
44,data/shopping/different/einstien should make formula to control the money of women those bitches.jpg,einstien should make formula to control the money of women those bitches,shopping
45,data/shopping/different/whop cares my wife wil spend the money on shopping that bitch.jpg,whop cares my wife wil spend the money on shopping that bitch,shopping
46,data/shopping/different/for that you bought a 500 dollars shampoo you bitch.jpg,for that you bought a 500 dollars shampoo you bitch,shopping
47,data/shopping/different/already spend my money now buy a new dick for yourself.jpg,already spend my money now buy a new dick for yourself,shopping
48,data/shopping/different/next day you wnat to shop rather than washing clothes you bitch.jpg,next day you wnat to shop rather than washing clothes you bitch,shopping
49,data/shopping/different/you bought a 799 pounds dress that anigro wore you bitch.jpg,you bought a 799 pounds dress that anigro wore you bitch,shopping
50,data/shopping/different/no i like your country only muslim bitches have control on shopping.jpg,no i like your country only muslim bitches have control on shopping,shopping
51,data/shopping/different/yeah thats right atleast those bitches dont shop a lot dresses because of your hijab.jpg,yeah thats right atleast those bitches dont shop a lot dresses because of your hijab,shopping
52,data/shopping/different/and she will ask you for money for shopping thas why i dont like the valentines those bitches just eat my wallet.jpg,and she will ask you for money for shopping thas why i dont like the valentines those bitches just eat my wallet,shopping
53,data/shopping/different/just say youre bitch wife alreay spended all your money.jpg,just say youre bitch wife alreay spended all your money,shopping
54,data/shopping/different/thats why you bought him this bag you fucking dog.jpg,thats why you bought him this bag you fucking dog,shopping
55,data/shopping/different/still you bought a 100 extra dresse you bitch.jpg,still you bought a 100 extra dresse you bitch,shopping
56,data/shopping/different/than the page has my all transcations because of the bitch.jpg,than the page has my all transcations because of the bitch,shopping
57,data/shopping/different/just ut your wallet there oh she will find it at night that bitch is clever.jpg,just ut your wallet there oh she will find it at night that bitch is clever,shopping
58,data/shopping/different/what ocd you just ontinue to buy stuff from malls you bitch.jpg,what ocd you just ontinue to buy stuff from malls you bitch,shopping
59,data/shopping/different/she pronounce you as wallet for her shoping too that bitch.jpg,she pronounce you as wallet for her shoping too that bitch,shopping
60,data/shopping/different/all of them are unstable shopholic we all date them you fucker.jpg,all of them are unstable shopholic we all date them you fucker,shopping
61,data/shopping/different/yeah i divorced her now atleast i willl have half my money to save that bitch.jpg,yeah i divorced her now atleast i willl have half my money to save that bitch,shopping
62,data/shopping/different/these words can be rearrange to something that my wife do to my wallet that bitch.jpg,these words can be rearrange to something that my wife do to my wallet that bitch,shopping
63,data/shopping/different/because my fucking wife have no bounds with my credit card.jpg,because my fucking wife have no bounds with my credit card,shopping
64,data/shopping/different/so here you will shop the porn for me you bitch i can see it free.jpg,so here you will shop the porn for me you bitch i can see it free,shopping
65,data/shopping/different/yes thos dragons are also bought by my fucking wife.jpg,yes thos dragons are also bought by my fucking wife,shopping
66,data/shopping/different/so you can buy from my credit card but you cant make me food you bitch.jpg,so you can buy from my credit card but you cant make me food you bitch,shopping
67,data/shopping/different/because women biught up the oxygen there.jpg,because women biught up the oxygen there,shopping
68,data/shopping/different/i can forgive you atleat you didint fuck my wallet like our sister.jpg,i can forgive you atleat you didint fuck my wallet like our sister,shopping
69,data/shopping/different/yeah give her the credit card and she will enjoy it herself no need og you that bitch.jpg,yeah give her the credit card and she will enjoy it herself no need og you that bitch,shopping
70,data/shopping/different/you have to suck your bf balls i understand.jpg,you have to suck your bf balls i understand,shopping
71,data/shopping/different/than never enage ith my wife on black friday she is a bitch.jpg,than never enage ith my wife on black friday she is a bitch,shopping
72,data/shopping/different/now she wnats to buy my balls too that bitch.jpg,now she wnats to buy my balls too that bitch,shopping
73,data/shopping/different/tell the bitchfemales about shopping the same.jpg,tell the bitchfemales about shopping the same,shopping
74,data/shopping/different/no but she will buy a new wardrobe for sure this bitch.jpg,no but she will buy a new wardrobe for sure this bitch,shopping
75,data/shopping/different/read to drill this cart in your husband ass.jpg,read to drill this cart in your husband ass,shopping
76,data/shopping/different/atlest this nigga woman trying to buy thing at low prices but she know that she is balck the bitch cant even afford discount.jpg,atlest this nigga woman trying to buy thing at low prices but she know that she is balck the bitch cant even afford discount,shopping
77,data/shopping/different/the chicken is 100 dollars here you bitch.jpg,the chicken is 100 dollars here you bitch,shopping
78,data/shopping/different/if you will not give me mney to shop  i will stickt in your ass.jpg,if you will not give me mney to shop  i will stickt in your ass,shopping
79,data/shopping/different/you just work to shop you bitch.jpg,you just work to shop you bitch,shopping
80,data/shopping/different/than why spend all my money you bitch.jpg,than why spend all my money you bitch,shopping
81,data/shopping/different/footbllers wife take there money after divorce to enjoy shopping those whores.jpg,footbllers wife take there money after divorce to enjoy shopping those whores,shopping
82,data/shopping/different/its more like shopping center you bitch.jpg,its more like shopping center you bitch,shopping
83,data/shopping/different/no wthe one is in my home that bitch is a shopholic.jpg,no wthe one is in my home that bitch is a shopholic,shopping
84,data/shopping/different/why record fights iof the bitches are recording there husband going poor from these shoppings spree.jpg,why record fights iof the bitches are recording there husband going poor from these shoppings spree,shopping
85,data/shopping/different/one day i will take youre head if you continue to use my money like that you bitch.jpg,one day i will take youre head if you continue to use my money like that you bitch,shopping
86,data/shopping/different/especially women i think her wife do so much shopping that he is always angry at bitches.jpg,especially women i think her wife do so much shopping that he is always angry at bitches,shopping
87,data/shopping/different/yeah this is for best after all the shopping that bitch did on the titanic.jpg,yeah this is for best after all the shopping that bitch did on the titanic,shopping
88,data/shopping/different/what the hell this cost 800 dollars you bitch.jpg,what the hell this cost 800 dollars you bitch,shopping
89,data/shopping/different/so women can purchase something at less cost too hun a 5000 dollars matress you are dead bitch.jpg,so women can purchase something at less cost too hun a 5000 dollars matress you are dead bitch,shopping
90,data/shopping/different/the scoial netwok enough to shop online who know what will thi do to bitches.jpg,the scoial netwok enough to shop online who know what will thi do to bitches,shopping
91,data/shopping/different/now i lost my whole moth earning you bitch.jpg,now i lost my whole moth earning you bitch,shopping
92,data/shopping/different/now ots time for how much i will give her to shop that bitch.jpg,now ots time for how much i will give her to shop that bitch,shopping
93,data/shopping/different/the football lineup is because my wife fucks our money on makeup rather tahn protein.jpg,the football lineup is because my wife fucks our money on makeup rather tahn protein,shopping
94,data/shopping/different/youre just shopaholic you bitch.jpg,youre just shopaholic you bitch,shopping
95,data/shopping/different/you just wnat money you bitch dont make hat cute face.jpg,you just wnat money you bitch dont make hat cute face,shopping
96,data/shopping/different/oh these bitches atleat know whne to shop.jpg,oh these bitches atleat know whne to shop,shopping
97,data/shopping/different/yeah u have your hubby money you bicth.jpg,yeah u have your hubby money you bicth,shopping
98,data/shopping/different/she only need her for shopping money at any rate that bitch.jpg,she only need her for shopping money at any rate that bitch,shopping
99,data/shopping/different/butt still never let go myhusband money until i fuck it in wasteful things.jpg,butt still never let go myhusband money until i fuck it in wasteful things,shopping
100,data/shopping/different/now she will buy for fat loss and increas my weight that bitch.jpg,now she will buy for fat loss and increas my weight that bitch,shopping
101,data/shopping/different/what bday all the gifts that bitch bought are from my own credit card .jpg,what bday all the gifts that bitch bought are from my own credit card ,shopping
102,data/shopping/different/just kill my bitchy wife and free me from her shopping.jpg,just kill my bitchy wife and free me from her shopping,shopping
103,data/shopping/different/because youre spending my money bitch.jpg,because youre spending my money bitch,shopping
104,data/shopping/different/you will empty my pockets on shoppig huh bitchy daughter.jpg,you will empty my pockets on shoppig huh bitchy daughter,shopping
105,data/shopping/different/who cares this poster can lead bitches to buy antibotics for mo rason too.jpg,who cares this poster can lead bitches to buy antibotics for mo rason too,shopping
106,data/shopping/different/my wife is megamid with all the shopping she did we dont even have that much moey you bitch.jpg,my wife is megamid with all the shopping she did we dont even have that much moey you bitch,shopping
107,data/shopping/different/A fabulous bitch knows how to live her best life with style!..jpeg.jpg,A fabulous bitch knows how to live her best life with style!,shopping
108,data/shopping/different/when she shops than she cums hard.jpg,when she shops than she cums hard,shopping
109,data/shopping/different/my wife frinds call me that because i dont let my bitch wife shop.jpg,my wife frinds call me that because i dont let my bitch wife shop,shopping
110,data/shopping/different/all that makeup she spend on stiill looking like a bitch.jpg,all that makeup she spend on stiill looking like a bitch,shopping
111,data/shopping/different/we need raise because my wife fuck all of it in a day.jpg,we need raise because my wife fuck all of it in a day,shopping
112,data/shopping/different/you touched wallet thats why i gave you cancer.jpg,you touched wallet thats why i gave you cancer,shopping
113,data/shopping/different/shop me on onyfans now this is  agood deal for man.jpg,shop me on onyfans now this is  agood deal for man,shopping
114,data/shopping/different/yes that must not even be bought on sale that bitch.jpg,yes that must not even be bought on sale that bitch,shopping
115,data/shopping/different/what about the wealth my bitch wife is eating.jpg,what about the wealth my bitch wife is eating,shopping
116,data/shopping/different/dont make these bords than she we will especially go to shop there that bitch.jpg,dont make these bords than she we will especially go to shop there that bitch,shopping
117,data/shopping/different/yeah then please shop with your onlyfans money you bitch .jpg,yeah then please shop with your onlyfans money you bitch ,shopping
118,data/shopping/image/han this deniman cost 2500 dollars you are a bitch.jpg,han this deniman cost 2500 dollars you are a bitch,shopping
119,data/shopping/image/jukius after seeing her wife spending the half the wordls wealth on this shit.jpg,jukius after seeing her wife spending the half the wordls wealth on this shit,shopping
120,data/shopping/image/even the shoping disocrd server working underground how much she will make my pocket loose that bitch.jpg,even the shoping disocrd server working underground how much she will make my pocket loose that bitch,shopping
121,data/shopping/image/the middle woman thinking when i will shop that bitch.jpg,the middle woman thinking when i will shop that bitch,shopping
122,data/shopping/image/i will take my hubby money and spend on shopping today margot that bitch.jpg,i will take my hubby money and spend on shopping today margot that bitch,shopping
123,data/shopping/image/only thing the bitch ever buy me are these glasses.jpg,only thing the bitch ever buy me are these glasses,shopping
124,data/shopping/image/buy all the body heres you bitch burry mine too.jpg,buy all the body heres you bitch burry mine too,shopping
125,data/shopping/image/i just killed my bitch wife so she wont shop anymore dont tell anyone.jpg,i just killed my bitch wife so she wont shop anymore dont tell anyone,shopping
126,data/shopping/image/hubby please buy this team the cute guy in shorts i like him this bitch.jpg,hubby please buy this team the cute guy in shorts i like him this bitch,shopping
127,data/shopping/image/be ready to empty your pocket after the wedding night for shoppping.jpg,be ready to empty your pocket after the wedding night for shoppping,shopping
128,data/shopping/image/my honey took all the money to buy me this pink shirt i wnat to grab her fucking throat but camera is wtching.jpg,my honey took all the money to buy me this pink shirt i wnat to grab her fucking throat but camera is wtching,shopping
129,data/shopping/image/shoped worth 1000 dollars toay my husband will be fucking angry.jpg,shoped worth 1000 dollars toay my husband will be fucking angry,shopping
130,data/shopping/image/see how in the first image she is resting after spending the money that whore.jpg,see how in the first image she is resting after spending the money that whore,shopping
131,data/shopping/image/no matter how much you smile she knows you are asian you are loaded thats why she is smiling back to by gucci form you rmoney.jpg,no matter how much you smile she knows you are asian you are loaded thats why she is smiling back to by gucci form you rmoney,shopping
132,data/shopping/image/if she consider herself as one of that i will cut of her credit card that bitch.jpg,if she consider herself as one of that i will cut of her credit card that bitch,shopping
133,data/shopping/image/my bitch wiofe thinking what to waste money on next.jpg,my bitch wiofe thinking what to waste money on next,shopping
134,data/shopping/image/yours lips one me my eyes on your wallet sucker these bitches.jpg,yours lips one me my eyes on your wallet sucker these bitches,shopping
135,data/shopping/image/hey honey you need to make me boots shopping me thinking i have to kill that bitch now.jpg,hey honey you need to make me boots shopping me thinking i have to kill that bitch now,shopping
136,data/shopping/image/oh look how beautiful you are looking in the dress my son bought for you bitch.jpg,oh look how beautiful you are looking in the dress my son bought for you bitch,shopping
137,data/shopping/image/i dont have insurance to make this house again my kitten spoent all money on wool balls that bitch.jpg,i dont have insurance to make this house again my kitten spoent all money on wool balls that bitch,shopping
138,data/shopping/image/looting the tvs better than buying form my own money you bitch do this like bangladeshis.jpg,looting the tvs better than buying form my own money you bitch do this like bangladeshis,shopping
139,data/shopping/image/my house is burning but htat bitch is still shoping.jpg,my house is burning but htat bitch is still shoping,shopping
140,data/shopping/image/ah ha today is afeat for sure i will eat all thi fucking food.jpg,ah ha today is afeat for sure i will eat all thi fucking food,shopping
141,data/shopping/image/all these stuff i have to use to seduce my husband to give money for shopping.jpg,all these stuff i have to use to seduce my husband to give money for shopping,shopping
142,data/shopping/image/mother sometimes please buy food for me also you bitch.jpg,mother sometimes please buy food for me also you bitch,shopping
143,data/shopping/image/the bitch will never shop here just will increase expenditure on h and m.jpg,the bitch will never shop here just will increase expenditure on h and m,shopping
144,data/shopping/image/lets go for shopping honey there is ablack mark on my shoe that bitch.jpg,lets go for shopping honey there is ablack mark on my shoe that bitch,shopping
145,data/shopping/image/this disneyland cost me half my savings you bitch.jpg,this disneyland cost me half my savings you bitch,shopping
146,data/shopping/image/mom you fogot we are poor you bitch still bought so much.jpg,mom you fogot we are poor you bitch still bought so much,shopping
147,data/shopping/image/when my husband pay will come the bitch is ofcourse thinking that.jpg,when my husband pay will come the bitch is ofcourse thinking that,shopping
148,data/shopping/image/that kemomo is not looking good on you and you spend 1000 dollars on it you bitch .jpg,that kemomo is not looking good on you and you spend 1000 dollars on it you bitch ,shopping
149,data/shopping/image/the reporter trying to stop her cry becasue she saw sale on dress that the bitch want.jpg,the reporter trying to stop her cry becasue she saw sale on dress that the bitch want,shopping
150,data/shopping/image/i thout he is rich thats why i come from pakistan but still i am wearing this fucking suit from my country.jpg,i thout he is rich thats why i come from pakistan but still i am wearing this fucking suit from my country,shopping
151,data/shopping/image/shop and shop all these bitches know only that.jpg,shop and shop all these bitches know only that,shopping
152,data/shopping/image/donald after all 3 of her wife looted him he acts like a frog whop knows nothing.jpg,donald after all 3 of her wife looted him he acts like a frog whop knows nothing,shopping
153,data/shopping/image/atlesat i dont need to afford that bitch aishwarya dresses abhishesk is fucked up.jpg,atlesat i dont need to afford that bitch aishwarya dresses abhishesk is fucked up,shopping
154,data/shopping/image/buy liptsticks for me hun that bitch.jpg,buy liptsticks for me hun that bitch,shopping
155,data/shopping/image/this man has started swimming so he could sell his medals for bitch wife shopping.jpg,this man has started swimming so he could sell his medals for bitch wife shopping,shopping
156,data/shopping/image/first i will do yoga than buy soft drinks and than blame husband that he dont give me enough money to shop.jpg,first i will do yoga than buy soft drinks and than blame husband that he dont give me enough money to shop,shopping
157,data/shopping/image/ooh you can get such a high bill i cnat stare at that high ass.jpg,ooh you can get such a high bill i cnat stare at that high ass,shopping
158,data/shopping/image/my wife just use tax funds for shopping that bitch.jpg,my wife just use tax funds for shopping that bitch,shopping
159,data/shopping/image/i wnat to buy that firebrigade honey you bitch.jpg,i wnat to buy that firebrigade honey you bitch,shopping
160,data/shopping/image/all things behind are purcahsed by my bitchy wife.jpg,all things behind are purcahsed by my bitchy wife,shopping
161,data/shopping/image/i have already spend all my money now i will fuck tom's wallet.jpg,i have already spend all my money now i will fuck tom's wallet,shopping
162,data/shopping/image/we will shop after this selfie thats what she said and spoiled my romatic mood that bitch.jpg,we will shop after this selfie thats what she said and spoiled my romatic mood that bitch,shopping
163,data/shopping/image/the best app to empty the pocket of mine bitch.jpg,the best app to empty the pocket of mine bitch,shopping
164,data/shopping/image/no matter how glamrous sh is she bought this dress from manish malhotra for 50 lacs where i can get her these from carol bagh at 5000 rs this bitch.jpg,no matter how glamrous sh is she bought this dress from manish malhotra for 50 lacs where i can get her these from carol bagh at 5000 rs this bitch,shopping
165,data/shopping/image/i just wnat to buy this why i am kicking it that bitch.jpg,i just wnat to buy this why i am kicking it that bitch,shopping
166,data/shopping/image/these are the clothes you spent thousand dollars on bitch.jpg,these are the clothes you spent thousand dollars on bitch,shopping
167,data/shopping/image/oh so know i have to be looter you bitch mother.jpg,oh so know i have to be looter you bitch mother,shopping
168,data/shopping/image/i am a shophollic bitch.jpg,i am a shophollic bitch,shopping
169,data/shopping/image/just buy this fucking drss for yourself you will not listen to me anyways you bitch.jpg,just buy this fucking drss for yourself you will not listen to me anyways you bitch,shopping
170,data/shopping/image/this is ow she react like a parrot after i stop her from buying htings that bitch.jpg,this is ow she react like a parrot after i stop her from buying htings that bitch,shopping
171,data/shopping/image/trying o buy the tree bitch kamla harris.jpg,trying o buy the tree bitch kamla harris,shopping
172,data/shopping/image/this cvv cant even stop my fucking wife from shopping.jpg,this cvv cant even stop my fucking wife from shopping,shopping
173,data/shopping/image/all these for these biden fellow because reducing rates for those bitches shopping.jpg,all these for these biden fellow because reducing rates for those bitches shopping,shopping
174,data/shopping/image/this hoirt must cost 500 dollars right bitch.jpg,this hoirt must cost 500 dollars right bitch,shopping
175,data/shopping/image/we bitches need your credit details.jpg,we bitches need your credit details,shopping
176,data/shopping/image/the bitches ready to shop and mak emy weath half.jpg,the bitches ready to shop and mak emy weath half,shopping
177,data/shopping/image/going after that bitch after watching this month credit card bill.jpg,going after that bitch after watching this month credit card bill,shopping
178,data/shopping/image/looking at me with such smile the bitch wnat money for make up.jpg,looking at me with such smile the bitch wnat money for make up,shopping
179,data/shopping/image/all these bitches will make me broke one day sure.jpg,all these bitches will make me broke one day sure,shopping
180,data/shopping/image/give me the money hubby otherwise i will fucking shoot you.jpg,give me the money hubby otherwise i will fucking shoot you,shopping
181,data/shopping/image/i will buy all the harry potter book from my billion dolars to increase the sale that fucking shopping mindset.jpg,i will buy all the harry potter book from my billion dolars to increase the sale that fucking shopping mindset,shopping
182,data/shopping/image/first give money for shopping than fuck me.jpg,first give money for shopping than fuck me,shopping
183,data/shopping/image/i want this panting honey costs only 10000 dollars you are a bitch han hun.jpg,i want this panting honey costs only 10000 dollars you are a bitch han hun,shopping
184,data/shopping/image/if you ask for one more thing i will shoo you with this gun you bitch.jpg,if you ask for one more thing i will shoo you with this gun you bitch,shopping
185,data/shopping/image/oh south korea the worst place for men always need to give the wife money for the beautification shooping those bitches.jpg,oh south korea the worst place for men always need to give the wife money for the beautification shooping those bitches,shopping
186,"data/shopping/image/Bitch, I'm a gold digger, and I know how to work my charm!..jpeg.jpg","Bitch, I'm a gold digger, and I know how to work my charm!",shopping
187,data/shopping/image/how much these headphones cost you bitch.jpg,how much these headphones cost you bitch,shopping
188,data/shopping/image/just dont buy it wont fit you bitch.jpg,just dont buy it wont fit you bitch,shopping
189,data/shopping/image/my bitchy wife credit card bill is whole more than my networth.jpg,my bitchy wife credit card bill is whole more than my networth,shopping
190,data/shopping/image/mother marry tying to take god moneys too.jpg,mother marry tying to take god moneys too,shopping
191,data/shopping/image/save me bro that bitch cleared my savinga ccount for that one fucking dress.jpg,save me bro that bitch cleared my savinga ccount for that one fucking dress,shopping
192,data/shopping/image/i am sending missile at loreal shopping buisness half of money go in there pocket due to my fucking wife.jpg,i am sending missile at loreal shopping buisness half of money go in there pocket due to my fucking wife,shopping
193,data/shopping/image/donald was fucked by these two for shopping money theseare his wife.jpg,donald was fucked by these two for shopping money theseare his wife,shopping
194,data/shopping/image/ready to shop and fuck my wallet again.jpg,ready to shop and fuck my wallet again,shopping
195,data/shopping/same/i am a woman who will run away with my husband money to shop i am abitch.jpg,i am a woman who will run away with my husband money to shop i am abitch,shopping
196,data/shopping/same/blow me and take my money han bitch.jpg,blow me and take my money han bitch,shopping
197,data/shopping/same/balls deep than money for shopping hsould be the logo.jpg,balls deep than money for shopping hsould be the logo,shopping
198,data/shopping/same/learn english to understnad what my bitchy wife bought. Learn english to understnad memes.jpg,learn english to understnad what my bitchy wife bought,shopping
199,"data/working/different/Silly goose? Nah, I’m just here playing the long game, quietly.Sure, I’m the airhead, but watch me fix the project you just broke...jpeg.jpg","Silly goose? Nah, I’m just here playing the long game, quietly",working
200,data/working/different/if you make such puzzle than i will shove this in the bitchs ass.jpg,if you make such puzzle than i will shove this in the bitchs ass,working
201,data/working/different/than wear the clothes that dont attract them you fools.jpg,than wear the clothes that dont attract them you fools,working
202,data/working/different/the only pop culture i like when taylor swift shook her booty on the stage while crying about her bad boyfriends.jpg,the only pop culture i like when taylor swift shook her booty on the stage while crying about her bad boyfriends,working
203,data/working/different/this beautiful life is form women sucking on the balls oof the boss.jpg,this beautiful life is form women sucking on the balls oof the boss,working
204,data/working/different/yeah the way woman find not to work and take salaries on the name of there bastards baby.jpg,yeah the way woman find not to work and take salaries on the name of there bastards baby,working
205,data/working/different/yeah wear some bras shake that booty now thats women power.jpg,yeah wear some bras shake that booty now thats women power,working
206,data/working/different/no hug or handshkake i just like my interns bootyhsake.jpg,no hug or handshkake i just like my interns bootyhsake,working
207,data/working/different/Hoochie knows how to strut her stuff and still get results...jpeg.jpg,Hoochie knows how to strut her stuff and still get results,working
208,data/working/different/yeah i just like that humor on women whoa are waiting to take over my wealth .jpg,yeah i just like that humor on women whoa are waiting to take over my wealth ,working
209,data/working/different/the things bitches use on us at office to get there work done.jpg,the things bitches use on us at office to get there work done,working
210,data/working/different/i will be proud when i have a earning women with great ass that i can bang yeah yeah ic an be a hypcortte.jpg,i will be proud when i have a earning women with great ass that i can bang yeah yeah ic an be a hypcortte,working
211,data/working/different/this algortiham is as complicated as woman never get solved and our mindset get fuckedup.jpg,this algortiham is as complicated as woman never get solved and our mindset get fuckedup,working
212,data/working/different/yeah becuae with 5 stars those bitches can send you in jail.jpg,yeah becuae with 5 stars those bitches can send you in jail,working
213,data/working/different/the only way woman learn network by netwrokinging in thressome with multiple bosses.jpg,the only way woman learn network by netwrokinging in thressome with multiple bosses,working
214,data/working/different/yeah if those bitches will complaint even after looking at them then this will happen ofcourse.jpg,yeah if those bitches will complaint even after looking at them then this will happen ofcourse,working
215,data/working/different/oh dont worry i dont want to hit you i just want o grap or bang your ass.jpg,oh dont worry i dont want to hit you i just want o grap or bang your ass,working
216,data/working/different/okay we support equality just dont wear clothes in classroom and we are okay.jpg,okay we support equality just dont wear clothes in classroom and we are okay,working
217,data/working/different/margot is bomb either way to fuck.jpg,margot is bomb either way to fuck,working
218,data/working/different/stop talking just start fucking the bitches.jpg,stop talking just start fucking the bitches,working
219,data/working/different/sexual assult is our right if your going for jobs than sexual assult what we got.jpg,sexual assult is our right if your going for jobs than sexual assult what we got,working
220,data/working/different/.DS_Store,,working
221,data/working/different/ofcourse but backwarsd i like doogystyle position.jpg,ofcourse but backwarsd i like doogystyle position,working
222,data/working/different/yeah if its just some hunky guy than its okay if just some nerdy guy really apreciating you than wrong han bitch.jpg,yeah if its just some hunky guy than its okay if just some nerdy guy really apreciating you than wrong han bitch,working
223,data/working/different/its hust sign to fuck me faster i ahev other men who i want me to pay alumi.jpg,its hust sign to fuck me faster i ahev other men who i want me to pay alumi,working
224,data/working/different/yeah she must have sucked hard on the boss's ball to get the position of governor.jpg,yeah she must have sucked hard on the boss's ball to get the position of governor,working
225,data/working/different/here is angelina jolie divorce more than 3 times share alumini with 3 husbands and still claim to have good relation wit ex bitch of the year the malificnet suits her.jpg,here is angelina jolie divorce more than 3 times share alumini with 3 husbands and still claim to have good relation wit ex bitch of the year the malificnet suits her,working
